id,budget_type,fiscal_year,amount,description,prexc_fpap_id,org_uacs_code,region_code,funding_uacs_code,funding_conversion_type,object_uacs_code,dept_code
GAA-2024-0000000001,GAA,2024,0.0,General Administration and Support,100000000000000,,,,,,
GAA-2024-0000000002,GAA,2024,597562.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010101001,01
GAA-2024-0000000003,GAA,2024,72476.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010102000,01
GAA-2024-0000000004,GAA,2024,17232.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010201001,01
GAA-2024-0000000005,GAA,2024,12036.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010202000,01
GAA-2024-0000000006,GAA,2024,11916.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010203001,01
GAA-2024-0000000007,GAA,2024,4308.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010204001,01
GAA-2024-0000000008,GAA,2024,1200.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010210001,01
GAA-2024-0000000009,GAA,2024,50805.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010214001,01
GAA-2024-0000000010,GAA,2024,3590.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010215001,01
GAA-2024-0000000011,GAA,2024,50805.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010216001,01
GAA-2024-0000000012,GAA,2024,3505.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010299012,01
GAA-2024-0000000013,GAA,2024,1045.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010302001,01
GAA-2024-0000000014,GAA,2024,11690.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010303001,01
GAA-2024-0000000015,GAA,2024,841.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010304001,01
GAA-2024-0000000016,GAA,2024,1518388.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010499009,01
GAA-2024-0000000017,GAA,2024,1494.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010499010,01
GAA-2024-0000000018,GAA,2024,15048.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5010499099,01
GAA-2024-0000000019,GAA,2024,360555.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5020101000,01
GAA-2024-0000000020,GAA,2024,37150.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5020102000,01
GAA-2024-0000000021,GAA,2024,15200.0,General management and supervision,100000100001000,010010000000,13,01101101,native,5020201002,01
