department,total_budget,item_count,avg_budget,pct_of_total
Unknown,8747626613.0,502782,17398.448259882018,75.83
Department of Public Works and Highways (DPWH),997884938.0,32183,31006.58540223099,8.65
Department of the Interior and Local Government (DILG),265510783.0,7236,36693.032476506356,2.3
Department of Social Welfare and Development (DSWD),258816835.0,8379,30888.74985081752,2.24
Department of Health (DOH),246746830.0,8073,30564.45311532268,2.14
Department of National Defense (DND),242394606.0,2802,86507.71092077087,2.1
Budgetary Support to Government Corporations (BSGC),198025653.0,247,801723.2914979757,1.72
Department of Transportation (DOTr),73892056.0,5326,13873.837025910627,0.64
Department of Environment and Natural Resources (DENR),70490572.0,34158,2063.662158205984,0.61
Other Executive Offices (OEOs),64950823.0,5832,11136.972393689986,0.56
Department of Labor and Employment (DOLE),61823078.0,9276,6664.842388960759,0.54
The Judiciary (JUD),60176180.0,993,60600.38267875126,0.52
Commission on Elections (COMELEC),40340400.0,787,51258.449809402795,0.35
Department of Justice (DOJ),38238947.0,2545,15025.12652259332,0.33
Department of Science and Technology (DOST),27217199.0,5499,4949.481542098563,0.24
Department of Finance (DOF),26844446.0,6128,4380.621083550914,0.23
Department of Foreign Affairs (DFA),24828418.0,5754,4314.984011122698,0.22
Department of Migrant Workers (DMW),18708424.0,15988,1170.15411558669,0.16
Commission on Audit (COA),14366236.0,1836,7824.747276688453,0.12
"Department of Economy, Planning, and Development (DEPDev)",12234002.0,7144,1712.4862821948489,0.11
Department of Information and Communications Technology (DICT),9515115.0,1306,7285.692955589587,0.08
Department of Trade and Industry (DTI),8887406.0,7818,1136.7876694806855,0.08
Office of the Ombudsman (OMB),5600153.0,493,11359.336713995943,0.05
Allocations to Local Government Units (ALGU),5584841.0,153,36502.228758169935,0.05
Civil Service Commission (CSC),4228083.0,2115,1999.0936170212765,0.04
Department of Tourism (DOT),3492009.0,2382,1465.9987405541563,0.03
Department of Human Settlements and Urban Development (DHSUD),3393659.0,4434,765.371898962562,0.03
Presidential Communications Office (PCO),2356142.0,805,2926.8844720496895,0.02
Commission on Human Rights (CHR),1025553.0,340,3016.3323529411764,0.01
