Budget_ID,Department,Description,Amount_PHP,Fiscal_Year,Region
GAA-2024-0000000001,Unknown,General Administration and Support,0.0,2024,
GAA-2024-0000000002,Department of Environment and Natural Resources (DENR),General management and supervision,597562.0,2024,13.0
GAA-2024-0000000003,Department of Environment and Natural Resources (DENR),General management and supervision,72476.0,2024,13.0
GAA-2024-0000000004,Department of Environment and Natural Resources (DENR),General management and supervision,17232.0,2024,13.0
GAA-2024-0000000005,Department of Environment and Natural Resources (DENR),General management and supervision,12036.0,2024,13.0
GAA-2024-0000000006,Department of Environment and Natural Resources (DENR),General management and supervision,11916.0,2024,13.0
GAA-2024-0000000007,Department of Environment and Natural Resources (DENR),General management and supervision,4308.0,2024,13.0
GAA-2024-0000000008,Department of Environment and Natural Resources (DENR),General management and supervision,1200.0,2024,13.0
GAA-2024-0000000009,Department of Environment and Natural Resources (DENR),General management and supervision,50805.0,2024,13.0
GAA-2024-0000000010,Department of Environment and Natural Resources (DENR),General management and supervision,3590.0,2024,13.0
GAA-2024-0000000011,Department of Environment and Natural Resources (DENR),General management and supervision,50805.0,2024,13.0
GAA-2024-0000000012,Department of Environment and Natural Resources (DENR),General management and supervision,3505.0,2024,13.0
GAA-2024-0000000013,Department of Environment and Natural Resources (DENR),General management and supervision,1045.0,2024,13.0
GAA-2024-0000000014,Department of Environment and Natural Resources (DENR),General management and supervision,11690.0,2024,13.0
GAA-2024-0000000015,Department of Environment and Natural Resources (DENR),General management and supervision,841.0,2024,13.0
GAA-2024-0000000016,Department of Environment and Natural Resources (DENR),General management and supervision,1518388.0,2024,13.0
GAA-2024-0000000017,Department of Environment and Natural Resources (DENR),General management and supervision,1494.0,2024,13.0
GAA-2024-0000000018,Department of Environment and Natural Resources (DENR),General management and supervision,15048.0,2024,13.0
GAA-2024-0000000019,Department of Environment and Natural Resources (DENR),General management and supervision,360555.0,2024,13.0
GAA-2024-0000000020,Department of Environment and Natural Resources (DENR),General management and supervision,37150.0,2024,13.0
GAA-2024-0000000021,Department of Environment and Natural Resources (DENR),General management and supervision,15200.0,2024,13.0
