region,total_budget,item_count
NCR (National Capital Region),2569800061.0,73931
Region IV-A (CALABARZON),241874844.0,42253
Region III (Central Luzon),227777298.0,40847
Region VI (Western Visayas),178350843.0,38883
Region VII (Central Visayas),166807522.0,35309
Region V (Bicol Region),160130770.0,40653
Region VIII (Eastern Visayas),139150067.0,29024
Region I (Ilocos Region),129488283.0,32390
Region X (Northern Mindanao),126584756.0,28040
Region II (Cagayan Valley),114709932.0,26765
Region XI (Davao Region),113003078.0,29378
Region XII (SOCCSKSARGEN),98594728.0,25241
Region XIV (Negros Island Region),97857419.0,21703
Region IX (Zamboanga Peninsula),97483215.0,20635
Region XIII (Caraga),82199451.0,25475
CAR (Cordillera Administrative Region),69453278.0,19885
BARMM (Bangsamoro Autonomous Region),0.0,1
